Term	Description	p.Val	FDR	Phenotype	Gene_Hits	Gene_Total	Gene_Ratio	NES	Ionization
STARCH AND SUCROSE METABOLISM	STARCH AND SUCROSE METABOLISM	0.4451	0.7666	+1	3	33	0.0909090909090909	1.055	negative
BENZOATE DEGRADATION VIA COA LIGATION	BENZOATE DEGRADATION VIA COA LIGATION	0.4654	0.773	-1	1	4	0.25	-1.037	negative
AMINOSUGARS METABOLISM	AMINOSUGARS METABOLISM	0.4654	0.773	+1	6	69	0.0869565217391304	1.011	negative
SATURATED FATTY ACIDS BETA-OXIDATION	SATURATED FATTY ACIDS BETA-OXIDATION	0.4817	0.7797	-1	1	36	0.0277777777777778	-1.018	negative
VITAMIN B12 (CYANOCOBALAMIN) METABOLISM	VITAMIN B12 (CYANOCOBALAMIN) METABOLISM	0.4863	0.7797	+1	1	9	0.111111111111111	1.008	negative
PYRIMIDINE METABOLISM	PYRIMIDINE METABOLISM	0.5306	0.8363	+1	10	70	0.142857142857143	0.9185	negative
CHONDROITIN SULFATE DEGRADATION	CHONDROITIN SULFATE DEGRADATION	0.5654	0.862	+1	3	37	0.0810810810810811	0.9519	negative
HEPARAN SULFATE DEGRADATION	HEPARAN SULFATE DEGRADATION	0.5654	0.862	+1	3	34	0.0882352941176471	0.9519	negative
1- AND 2-METHYLNAPHTHALENE DEGRADATION	1- AND 2-METHYLNAPHTHALENE DEGRADATION	0.6037	0.9055	-1	1	4	0.25	-0.9246	negative
SIALIC ACID METABOLISM	SIALIC ACID METABOLISM	0.6635	0.9349	+1	7	107	0.0654205607476635	0.851	negative
VITAMIN B3 (NICOTINATE AND NICOTINAMIDE) METABOLISM	VITAMIN B3 (NICOTINATE AND NICOTINAMIDE) METABOLISM	0.6571	0.9349	+1	5	28	0.178571428571429	0.8411	negative
GLUTAMATE METABOLISM	GLUTAMATE METABOLISM	0.6552	0.9349	-1	4	15	0.266666666666667	-0.8552	negative
METHIONINE AND CYSTEINE METABOLISM	METHIONINE AND CYSTEINE METABOLISM	0.6511	0.9349	-1	15	94	0.159574468085106	-0.8864	negative
HEXOSE PHOSPHORYLATION	HEXOSE PHOSPHORYLATION	0.69	0.9566	-1	3	20	0.15	-0.843	negative
KERATAN SULFATE DEGRADATION	KERATAN SULFATE DEGRADATION	0.6994	0.9566	-1	3	68	0.0441176470588235	-0.8346	negative
SQUALENE AND CHOLESTEROL BIOSYNTHESIS	SQUALENE AND CHOLESTEROL BIOSYNTHESIS	0.7367	0.9691	+1	4	55	0.0727272727272727	0.7689	negative
VITAMIN H (BIOTIN) METABOLISM	VITAMIN H (BIOTIN) METABOLISM	0.7398	0.9691	-1	1	5	0.2	-0.8417	negative
BETA-ALANINE METABOLISM	BETA-ALANINE METABOLISM	0.7241	0.9691	-1	5	20	0.25	-0.8069	negative
N-GLYCAN BIOSYNTHESIS	N-GLYCAN BIOSYNTHESIS	0.9667	0.9951	+1	1	48	0.0208333333333333	0.6844	negative
GLYCOSPHINGOLIPID BIOSYNTHESIS - GANGLIOSERIES	GLYCOSPHINGOLIPID BIOSYNTHESIS - GANGLIOSERIES	0.9667	0.9951	+1	1	62	0.0161290322580645	0.6844	negative
GALACTOSE METABOLISM	GALACTOSE METABOLISM	0.9265	0.9951	+1	7	41	0.170731707317073	0.6093	negative
ALKALOID BIOSYNTHESIS II	ALKALOID BIOSYNTHESIS II	0.8293	0.9951	-1	1	10	0.1	-0.77	negative
VITAMIN B1 (THIAMIN) METABOLISM	VITAMIN B1 (THIAMIN) METABOLISM	0.898	0.9951	+1	1	20	0.05	0.7334	negative
GLYCOSPHINGOLIPID BIOSYNTHESIS - GLOBOSERIES	GLYCOSPHINGOLIPID BIOSYNTHESIS - GLOBOSERIES	0.9804	0.9951	+1	1	16	0.0625	0.681	negative
VITAMIN B5 - COA BIOSYNTHESIS FROM PANTOTHENATE	VITAMIN B5 - COA BIOSYNTHESIS FROM PANTOTHENATE	0.9157	0.9951	+1	1	12	0.0833333333333333	0.7269	negative
PARATHIO DEGRADATION	PARATHIO DEGRADATION	0.9577	0.9951	+1	2	6	0.333333333333333	0.5522	negative
PROPANOATE METABOLISM	PROPANOATE METABOLISM	0.9951	0.9951	+1	9	31	0.290322580645161	0.4814	negative
BIOPTERIN METABOLISM	BIOPTERIN METABOLISM	0.7985	0.9951	-1	4	22	0.181818181818182	-0.7269	negative
GLYCINE, SERINE, ALANINE AND THREONINE METABOLISM	GLYCINE, SERINE, ALANINE AND THREONINE METABOLISM	0.9683	0.9951	+1	18	88	0.204545454545455	0.5911	negative
GLYOXYLATE AND DICARBOXYLATE METABOLISM	GLYOXYLATE AND DICARBOXYLATE METABOLISM	0.9909	0.9951	-1	4	12	0.333333333333333	-0.4473	negative
UREA CYCLE/AMINO GROUP METABOLISM	UREA CYCLE/AMINO GROUP METABOLISM	0.9577	0.9951	-1	14	85	0.164705882352941	-0.5926	negative
COA CATABOLISM	COA CATABOLISM	0.9157	0.9951	+1	1	7	0.142857142857143	0.7269	negative
OMEGA-3 FATTY ACID METABOLISM	OMEGA-3 FATTY ACID METABOLISM	0.882	0.9951	-1	4	39	0.102564102564103	-0.639	negative
BUTANOATE METABOLISM	BUTANOATE METABOLISM	0.8949	0.9951	+1	12	34	0.352941176470588	0.6586	negative
FATTY ACID OXIDATION, PEROXISOME	FATTY ACID OXIDATION, PEROXISOME	0.8374	0.9951	-1	1	28	0.0357142857142857	-0.7634	negative
CARBON FIXATION	CARBON FIXATION	0.898	0.9951	+1	1	10	0.1	0.7334	negative
UBIQUINONE BIOSYNTHESIS	UBIQUINONE BIOSYNTHESIS	0.881	0.9951	+1	2	10	0.2	0.6933	negative
NITROGEN METABOLISM	NITROGEN METABOLISM	0.8126	0.9951	-1	2	6	0.333333333333333	-0.7758	negative
TYROSINE METABOLISM	TYROSINE METABOLISM	0.803	0.9951	-1	37	160	0.23125	-0.7856	negative
LYSINE METABOLISM	LYSINE METABOLISM	0.8917	0.9951	-1	8	52	0.153846153846154	-0.6559	negative
