Feature	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12
Row.50_66407	-0.00836339307125043	0.00362272241890869	0.0459613556448959	-0.0254844377732628	0.000588392198714108	0.0278375060010368	0.0533395753680565	0.0234565933845695	-0.0490428076415655	0.0320631951745289	-0.0368498296122085	0.00846693943177518
Row.52_21483	0.0337063835979369	0.0229402726109945	-0.0360172080034455	0.0232063321303626	0.00153308291845547	-0.0125116334812304	0.0121077700110866	-0.0258054156987655	0.00445700547664694	-0.00715729129127554	-0.00592032755359657	0.0136758777901558
Row.54_26732	0.0163954248177628	-0.0135640744172585	-0.0224277786274761	-0.00488639613254496	-0.0255325366519219	0.0259308378124392	-0.042965188425922	0.0122270783420596	0.00628598069264441	-0.0459028965016009	-0.01357936918406	-0.00220336496895552
Row.55_21083	0.0200507027906457	0.00373618509618715	0.00221933031964002	-0.0175725262232158	-0.0306306779636515	0.0184192616088101	-0.0309857804237265	0.00549130924511862	0.03317793383916	0.0210537222504491	0.0102080955276818	-0.0284275381459119
Row.59_13958	0.0120978381396587	-0.0275131246997544	-0.00904193180859446	0.0294453358820913	-0.0311203499558879	0.000894809521169901	-0.0217851744846984	-0.000831063841531325	-0.0169357588206634	0.042294919531441	0.0165429589757693	0.0137363194879865
Row.64_32415	-0.0238833065704473	-0.0369579705488921	0.0215270776809318	-0.0150823013356912	-0.00173901406981859	0.0498408906671405	0.00977376796329833	0.0443329165923107	-0.00840171044855604	-0.00245625978709179	0.0315501823099776	0.00357634222641707
Row.66_33499	0.00777743065728465	0.0263435169131317	-0.010904143714407	-0.0521667082816673	0.0118951325798951	0.00561636626075513	-0.0645220455497942	0.0665524514654382	-0.0276214832426004	0.0229258398691651	-0.0457752765708847	0.00720870385452505
Row.67_21868	0.0192901496030184	0.0194278080097713	-0.0427829021456254	-0.0128730037977717	-0.045545084663036	0.0325323508597854	0.0107836563483027	0.0091717808267893	0.00793063741277945	0.0490510929064817	-0.0362215038362649	-0.0209745121002204
Row.71_22542	0.021705408516601	0.0100618307468957	-0.0212236897278493	0.020539041468009	0.00680840604179389	0.00250908971002579	-0.00868086878641552	0.0170388436922649	0.00279873531858765	-0.00581756288581688	0.0288392875680051	-0.000649039461366661
Row.73_60108	-0.00447989161554218	-0.0170678064559746	0.00956936016690299	0.0418064230584409	-0.0383437712696706	0.0629409783543696	0.0559323144031976	0.00213836221751468	0.00383028726257422	0.000161058168743782	0.00566389496497037	-0.0296791906970934
Row.77_16065	-0.0156905792442844	-0.00667002411707688	0.0180407714084516	-0.0246922567137959	-0.000818957269405452	0.00757348796871819	0.0192104369118499	-0.0293008936014178	-0.000204129328965067	0.00437706223159107	0.00623291582747957	-0.0406035055034931
Row.79_31526	0.00838058613892422	-0.00463188554774944	0.00150168737669697	-0.00306605719332925	0.0204977102928533	0.0217287712829378	0.0160920518436939	-0.0115375794935158	-0.0348505843897817	0.0273439072423278	0.0424410597742828	-0.0337701639507676
Row.80_49536	0.0205875507631009	-0.0161447098139606	0.00925994400340314	0.00625538064109343	-0.00477365633090393	-0.0186540254263091	-0.0110567048707122	0.0120063865517442	-0.00816393814507262	-0.0332404731744158	-0.0300180618799008	0.00686005781901368
Row.81_15879	-0.00395228960093254	-0.0115871180928071	0.0188411283984415	-0.0259639575607565	0.00964479708281195	0.0213818572921425	0.00165315288781175	-0.0259478904951967	-0.0207487568827233	0.000319424131311279	-0.0018957396601599	0.0279811031237128
Row.83_1207	0.0199046883604957	-0.0475635951488245	-0.00259662116464228	0.0013665709781338	0.0138543190284965	-0.0113147767150667	0.00467111333894888	0.00245615426953026	-0.017917424302764	0.00668858411291614	0.0127091052224326	0.0341485067005137
Row.85_27728	0.0070608570080582	0.000418203859488429	0.0123449987567887	-0.0206451879823382	-0.00633733722031403	0.00134736809021783	-0.029096053064285	-0.011002936136134	0.0130221432008741	-0.000756633817570971	0.00613659382136403	0.0422785146285121
Row.91_19001	0.00175133998949092	-0.0157125299298887	-0.00924806372239715	0.0198121846036168	-0.00367782506130576	-0.0219979775243847	-0.012373972673302	0.0170233225591757	-0.00621600304409939	-0.00562452544966324	-0.00196861874247798	-0.0213198544048727
Row.93_32474	0.0168836860081609	0.0756581771665598	0.0325021364443584	-0.0896312189459763	-0.00368402847042668	-0.0707055597365727	-0.0315992691292866	-0.0584720174230766	-0.0292023056337377	-0.010736541088093	-0.0741505449393595	0.0116515205892305
Row.97_22963	-0.0160491391320905	-0.0152673890050809	0.00505909089118349	0.00515842438883793	0.0133319799364985	0.0306921124308954	-0.0440437413182929	0.0252904827494758	0.0124497719957409	-0.00886035668026606	-0.0170651537489531	0.0242476217892455
Row.104_33191	-0.0014618986919859	0.0381745098152959	0.0673559764876596	0.0529583480548089	-0.070817139223808	-0.0703967580270592	-0.106491452344778	0.0136361443466236	0.00525506083583543	0.00882896970159276	-0.00135022989885606	-0.0120639301893873
