feature_identifier	mz	mummichogID_hsa_mfn
Row.202_3001	694.546139678475	
Row.203_118404	469.313838948518	
Row.204_93420	255.206517744483	
Row.205_130070	417.261571257199	CE5707
Row.206_87854	394.175202334051	C07163
Row.207_55363	307.187580890085	CE5723,C05141,C05301,CE1342,CE2179,hestratriol
Row.208_89419	244.190400684095	
Row.209_123302	237.146066592927	
Row.210_2523	277.249905262773	C00219,C04742,C04805,C14748,C14749,C14768,C14769,C14770,C14771,C14778,C14779,CE5016
Row.211_81513	345.13069557339	C00510,C16218
Row.212_58965	633.180157898628	C09332
Row.213_96971	269.208533800361	
Row.214_82757	160.075526465163	C00637,C00780,C11132,C14789,C00331,C05660,C16586,CE1918,CE5629
Row.215_110124	273.181879401109	
Row.216_2698	211.093760437996	C16604,C08261
Row.217_38215	612.302224484122	C00461
Row.218_120775	126.028876334464	C00627
Row.219_67517	729.425371174639	
Row.220_94508	367.209078852352	CE5139,CE5947,CE7105,CE1447,CE2056,CE5533,CE5534,CE5926,CE5930
Row.221_52631	246.109697680487	C01893,C00881
Row.222_77985	217.119655569177	
Row.223_79541	252.158933617917	
Row.225_129332	505.313975224714	CE5790
Row.226_50871	227.088490968035	C00881
Row.227_70761	310.199332788565	CE5797,C02838
Row.228_95493	215.067549866973	
Row.229_102289	351.177982641442	
Row.230_113231	283.237826777512	
Row.231_19908	267.167558310987	C16608
Row.233_114762	241.177243631741	C00750
Row.234_39197	479.209897968326	C11132,C11132
Row.235_55263	272.125578757415	
Row.236_86140	196.130530510646	
Row.237_106201	355.209272279656	
Row.238_38345	169.119574061098	CE2445,CE2446,CE2449,CE5179,CE5343,CE5815,CE5944,CE6240,CE6246,CE6251,CE6474,CE7096,CE7172,C05648
Row.239_125468	207.185532046582	C07073,C16560
Row.240_104494	425.157248663528	
Row.241_2570	209.15079449013	C00449
Row.242_86468	183.13544475677	C01387
Row.243_116461	679.461904087545	
Row.244_91811	409.173090387987	C04707,C06439,C07344
Row.245_42525	552.279315695801	
Row.246_95731	225.088297581487	C03227,C05651,C00214,C00365,C05648
Row.247_108946	239.144264247517	CE5251,CE5252,CE5255,CE5256
Row.248_31049	542.753213478784	
Row.249_98510	265.104455586016	
Row.250_115429	513.242651893837	
Row.251_112306	773.495106448154	
Row.252_96164	228.099356578591	C00881,C16420
Row.253_74308	288.120321298998	C06350
Row.254_118833	237.146045074247	
Row.255_88266	297.203305210657	C05956,C05962,C06424
Row.256_111125	162.127643054317	C16635
Row.257_71026	303.156258939843	CE5251,CE5252,CE5255,CE5256
Row.258_74753	291.119859463588	
Row.259_111156	395.14662352247	
Row.260_116591	437.19378358542	C00427,C00584,C00696,C01312,C02198,C04654,C04671,C04853,C06314,C06315
Row.262_89723	200.104282323211	C06114,C00475,C00881,C05711
Row.263_99338	210.102588477062	
Row.264_60026	304.151615872274	C01416,C01516,C16576
Row.265_92866	357.224870234242	
Row.266_87215	490.254075118076	
Row.267_35442	399.127242488521	C00255
Row.268_121428	737.50325619277	
Row.269_2568	393.297242269977	C02528,C04483,C15517
Row.270_87856	312.120400911972	
Row.271_75539	333.179167365381	CE2053,CE5138,CE5661,CE7088,CE7112,CE7113,CE7114,CE7115,C14765,CE5526,CE5527
Row.272_49235	391.230803850169	
Row.273_100234	345.203395884038	C05490,C16548,CE1349,C00735,C01124,C03413,C05469,C05473,C16300,CE5849
Row.274_87415	325.162113296346	
Row.275_5079	146.117415111268	C01181,C01996,pcrn
Row.276_83470	266.174418580763	C16660
Row.277_92458	379.198751534377	C04742,C04805,C14748,C14749,C14768,C14769,C14770,C14771,C14778,C14779,CE5016
Row.278_61452	275.124952627905	
Row.279_84438	270.109873715483	CE2065,C06350
Row.281_3208	171.062509890961	C00418
Row.282_117319	293.208547510113	C00390,C04785,C05470,C05471,C05474,C05489,C16321,CE5528
Row.283_97774	203.0676048129	C00590,C03078
Row.284_88033	268.094205881527	
Row.285_78832	243.17006728865	C16608
Row.286_62428	697.325415335037	
Row.287_91657	241.140722434734	
Row.288_72849	236.126849841504	C04692
Row.289_88399	245.114520520687	C01893,C00931,C01246
Row.290_64587	246.148417109341	
Row.292_114056	252.136184068846	
Row.293_47889	467.262632384996	5adtststeroneglc,C11135,C11136,ahandrostanglc,andrstrnglc
Row.294_88686	215.104006261804	C00214,C00756,C03415
Row.295_113857	329.136100919696	C02999
Row.296_114463	291.135370245723	C05118,C05119
Row.297_58284	353.207106449107	CE0955,CE5945,CE6232,17ahprgstrn,C00376,C01176,C02110,C03205,C03748,C05498,C16681,CE1353,CE5575,CE5589,CE5888,retinal-11-cis,retinal-cis-9
Row.298_70798	665.299815045262	
Row.299_76337	262.141954158209	
Row.300_105899	289.140836221731	CE2102
Row.301_121735	379.151548007891	
Row.302_96156	383.240608218619	C05470,C05471,C05474,C05489
Row.303_119585	325.234983463673	C00249,C00427,C00584,C00696,C01312,C02198,C04654,C04671,C04853,C05956,C05962,C05963,C06314,C06315
Row.304_90332	238.08359352175	C12448,egme
Row.305_59896	611.326265925022	
Row.306_122533	273.18221695483	C00951,C05285,C05299,CE1349,CE2184,CE2189
Row.307_103424	279.0932970253	
Row.308_81473	241.190675263748	
Row.309_55220	607.257847327105	C00486,C04886
Row.310_75901	293.183741442686	C00255
Row.311_87421	246.206069393751	
Row.312_105120	532.301225197152	
Row.313_3170	142.916425671003	
Row.314_81118	267.156293958265	CE2102
Row.316_121825	288.253139397347	
