feature_identifier	mz	mummichogID_hsa_biocyc
Row.279_43059	179.107689132613	
Row.280_13885	431.819610190708	
Row.281_16174	460.928205593623	
Row.283_13216	225.572159128665	
Row.284_21874	770.313544113561	
Row.286_1282	199.17049711881	DODECANOATE
Row.288_20749	729.315421836527	
Row.289_15320	468.16996684381	
Row.298_1865	146.045500955687	C01015,5-AMINO-LEVULINATE,GLT,GLYCERATE,L-GLUTAMATE_GAMMA-SEMIALDEHYDE
Row.302_16162	646.252189166907	
Row.304_22733	716.278961468649	
Row.305_32532	407.211356958953	
Row.306_27095	268.192837491555	
Row.311_2032	91.021318882676	3-HYDROXY-PROPIONATE,D-LACTATE,C00184,GLYCERALD,L-LACTATE
Row.313_26841	573.237620744052	
Row.315_20668	619.255425943939	
Row.316_26013	971.404517879729	
Row.317_31523	169.159577135173	
Row.319_32274	150.00158444584	
Row.327_24741	313.149005279355	
Row.328_27650	379.216991446126	
Row.332_31482	337.149463593462	
Row.333_14787	370.114010641353	
Row.337_24827	905.37019909833	
Row.338_12748	399.146985767227	
Row.339_38105	181.134573021497	
Row.342_18972	572.223777817422	
Row.344_14508	395.136538988915	
Row.348_30939	296.224021060423	
Row.349_18900	545.214977207558	
Row.353_17175	377.133103572466	
Row.354_1597	164.956821127103	
Row.356_1991	171.066153565337	CPD-289,C03711
Row.357_19118	653.242618807843	
Row.358_15678	486.176651853102	
Row.359_52519	211.134156263124	CPD-10050,CPD-10051,CPD-260,CPD-261,CPD-9762,C01499
Row.361_53094	329.104332385902	
Row.363_1279	152.035017132582	3-HYDROXY-ANTHRANILATE,3-PYRIDYLACETIC-ACID,ANTHRANILATE
Row.367_25594	375.18533765496	
Row.368_17239	499.196725401503	
Row.371_1193	138.019179893428	2-AMINO-MUCONATE,NIACINE,P-NITROPHENOL,PICOLINATE
Row.374_1367	314.835817071261	
Row.375_13613	376.117432866709	C07344
Row.377_38414	145.050257748283	15-ANHYDRO-D-GLUCITOL,2-KETO-3-METHYL-VALERATE,2K-4CH3-PENTANOATE,CPD-10329,CPD-9446
Row.380_39962	244.06231992629	
Row.388_16639	447.154413878888	
Row.392_12447	117.045198788333	
Row.393_1616	198.918016622847	
Row.394_26614	355.159690379677	
Row.396_1250	274.840654256884	
Row.398_48181	135.044643262748	HYDRPHENYLAC-CPD,C00601,PHENYLACETATE
Row.400_17226	539.20362638742	
Row.403_23007	548.54003901955	
Row.404_14790	432.148569777722	
Row.406_34118	135.0446552474	HYDRPHENYLAC-CPD,C00601,PHENYLACETATE
Row.409_35290	417.232531864291	
Row.414_17959	825.312724677443	
Row.415_21322	795.81082951966	
Row.417_14480	394.127818964307	
Row.419_19272	595.572104539406	
Row.424_39617	211.170603393028	
Row.426_58836	209.154851307071	
Row.430_1704	435.816638016005	
Row.432_59646	251.165962870988	CPD-7204
Row.433_29084	313.239702630685	18-HYDROXYOLEATE,CPD-13086
Row.436_60924	500.280265760583	GLYCOCHOLIC_ACID
Row.439_30741	171.175226352566	
Row.440_42583	183.102638187332	CPD-7618,CPD-9976,CPD-9977
Row.441_41755	239.129491039033	
Row.443_27138	945.388232115671	
Row.444_45177	239.165883705199	CPD0-1159
Row.446_28590	169.159566421797	
Row.450_2093	165.01913887808	CPD-30,L-PIPECOLATE,CPD-11879
Row.456_17873	506.203643987599	
Row.457_46636	229.144937177235	
Row.462_28994	273.15060810888	
Row.463_22650	767.335702449834	
Row.464_20678	612.257187899949	
Row.467_13192	428.147653660652	
Row.469_16836	483.18740911263	C01674
Row.473_22511	799.316534017068	
Row.476_37166	356.163793412341	
Row.477_46553	325.185545572011	C02838
Row.478_50806	599.322524959841	
Row.481_15250	491.179070650172	
Row.483_55787	255.160897958726	
Row.485_25943	287.223698574619	CPD-11268,CPD-7836
Row.486_1107	283.265232057762	STEARIC_ACID
Row.487_18954	702.268184686013	
Row.489_23687	565.881342264977	
Row.491_20136	631.257629940099	
Row.495_15809	557.194338116577	
Row.497_28395	320.151516795821	
Row.498_14234	552.199260830737	
Row.499_67873	478.295553937055	
Row.500_1230	129.055198518433	2-KETO-3-METHYL-VALERATE,2K-4CH3-PENTANOATE,CPD-13228,MEVALONATE,PRENAL
Row.501_42007	211.134278002278	CPD-10050,CPD-10051,CPD-260,CPD-261,CPD-9762,C01499
Row.502_31784	300.218959646416	
Row.504_24240	857.851390099783	
Row.505_17796	537.202954837275	
Row.506_1318	197.09735436127	CPD-7202
Row.507_1216	231.175991391285	
Row.509_27568	314.19835216793	
Row.510_29879	335.224166830755	DEHYDROSPHINGANINE,C00319,17-BETA-HYDROXY-5ALPHA-ANDROSTAN-3-O,5Z13E-15S-9-ALPHA11-ALPHA15-TRIHY,5Z8Z10E14Z-12S-12-HYDROPEROXYICOS,5Z8Z11Z13E-15S-15-HYDROPEROXYICOS,6E8Z11Z14Z-5S-5-HYDROPEROXYCOSA-6,6Z8E10E14Z-5S12R-512-DIHYDROXYI,ALPROSTADIL,C00523
Row.511_30971	381.175515025427	
Row.515_19406	775.293127114735	
Row.516_31070	225.186393337417	
Row.518_28478	369.229564631914	5Z13E-15S-9-ALPHA11-ALPHA15-TRIHY,ALPROSTADIL
Row.519_42373	287.187424724136	
Row.520_373	126.904481881249	
Row.524_14019	389.153102334554	
Row.525_14685	481.155759103898	CPD-12826
Row.526_942	76.9872439174709	OXYGEN-MOLECULE
Row.529_34014	301.202962684122	
Row.532_14169	417.806412084115	
Row.533_25632	335.154510492016	
Row.535_43555	163.076161718226	
Row.536_1419	354.829167882356	
Row.539_26201	888.366056617416	
Row.540_21188	688.29312925389	
Row.541_14147	408.152412406774	
Row.542_31613	285.208093032656	
Row.544_18985	640.235924254901	
Row.546_30827	367.215682601869	13E-11-ALPHA-HYDROXY-915-DIOXOPROST-1,20-OH-LTB4,5Z13E-15S-1115-DIHYDROXY-9-OXOPROS,5Z13E-15S-69-ALPHA-EPOXY-11-ALPHA,5Z13E-15S-9-ALPHA15-DIHYDROXY-11-O,ALPHA-HYDROXY-915-DIOXOPROSTANOATE,ALPHA11-ALPHA-EPOXY-15-HYDROXYTHROMBA,PROSTAGLANDIN-H2
Row.547_60500	225.14992530048	
Row.552_37405	172.076620442367	1-INDANONE,CPD-12021
Row.553_28681	245.155337080441	
Row.556_1625	284.916915458145	
Row.557_22785	848.337614463129	
Row.558_1973	149.023978285799	CPD-782,DIHYDROXYPHENYLGLYCOLALDEHYDE,HOMOGENTISATE
Row.559_13183	415.14372774642	
Row.560_13571	412.903171180612	
Row.561_27097	945.88724646919	
Row.568_15483	463.171930135089	
Row.569_21218	495.178978729692	
Row.571_12604	93.0450926373297	
Row.574_21372	765.297261751133	
Row.577_56488	207.139160059023	CPD-7204
Row.582_32579	215.165508239342	DODECANOATE
Row.586_30844	299.133237377269	NALPHA-GAMMA-L-GLUTAMYLHISTAMINE
Row.587_42598	217.181252910928	
Row.590_16022	502.853768087234	
Row.591_31748	365.201212309903	
Row.593_40829	269.176936550363	CPD0-1159
Row.595_1481	130.956742072672	
Row.597_16279	635.260505460981	
