PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
SDCBP_O00560	0.00148052187920239	-0.00655877634635513	-0.00455784593507159	-0.00501569027188799	-0.0137494022311106	0.0123173791507105	0.00758692366763718	-0.010920860720386	0.00564688432213276	-0.00637268619444654
DDX3X_O00571	0.000812986673044543	0.0111067598714359	0.0111698004824718	0.0151580316147358	-0.0112675967179253	-0.0122673790400118	0.00439584113747877	-0.000136731411842579	0.00482501628939751	0.0111754805517751
DDX3X_O00571.1	-0.00113874329696441	0.0245819383547192	0.0101892692414638	0.0236954972812341	-0.0188995233134676	0.00423764459237418	0.000573302928122099	0.000565918969043213	-0.0135959328071697	0.00178720305681419
DDX3X_O00571.2	-0.000203464707732993	0.0316069582351818	0.0181386722644665	0.0204530503614089	-0.0132309225054273	0.00404943032951434	-0.00976646706872801	-0.00537924527486762	-0.0220022211778823	-0.00359601732763645
DDX3X_O00571.3	-0.000216411036913097	0.0283316078285201	0.0215021447747109	0.00155476030415716	-0.0146846884610762	0.00490067562713455	-0.0219781900289438	0.00141488525224791	-0.0238060654239567	0.00905500812621279
DDX3X_O00571.4	0.00117983486413409	-0.00670470895376581	0.000424910760737366	-0.000580542154383028	-0.00240901413274324	0.0111581111459424	-0.0131880531742789	0.0133859152668095	-0.00732911605435117	-0.005399834663658
KPNA4_O00629	1.97438702798864e-05	0.00254723463034322	0.0132731381569973	0.00997478018437558	-0.0107069106951424	-0.00928655492459649	0.00316154780294991	0.0228246385702552	0.0119274345317524	-0.000360596378324845
NFIB_O00712.1	0.00199261741923612	-0.013050432368334	0.00471650749580417	-0.00546527517837351	-0.0207930725542223	-0.0107672138126267	0.0166066893709729	-0.00398071965349397	-0.0137444432583151	-0.000430243143758421
CLDN4_O14493	0.00250318211209918	-0.000427696138671438	0.027329752288047	-0.0126592078377155	0.00253301803759903	-0.00910113035969884	0.0168655457785085	0.0109025131231933	-0.0428992292869068	0.0102067452211622
PPAP2B_O14495	0.0002775358575167	0.00269196347728638	-0.00989044229277426	0.00255344179476631	-0.0114926297459735	0.00973898816464195	-0.00292269962522347	0.00398420611003608	-0.0062520814580014	-0.0086239353368146
ARID1A_O14497	0.000870413643449093	-0.00513834765879752	0.00238340420361346	-0.00728741802541578	0.00771618965515821	0.000724213809310579	0.015577123011107	0.00959283216924896	0.00507579032098905	0.011441922705438
ARID1A_O14497.2	0.00401667636885417	0.0114191328349681	0.0157243263135964	0.00534019980552489	0.0067458435824665	-0.0138340280330315	0.0141580882285437	-0.00669692869408923	-0.0256788205944474	0.00816431363228602
ARID1A_O14497.4	-0.00310376677543228	-0.0163440114895023	0.0553069543231612	-0.00947070294120238	-0.0205827205733197	0.0177659366764873	0.0128061755799606	0.0126602815865874	0.0248363403245678	-0.00100811357866817
C2CD2L_O14523	0.00072591011558998	0.000199641339755407	0.000661002794611648	-0.00317060757013522	0.0051984331235001	0.0104332610093557	-0.00854211878105877	-0.00041797917119499	-0.00275342527884132	0.0120051314026862
C2CD2L_O14523.1	0.00126925506609292	0.00429979607938879	0.00248041748417403	-0.00551651694572401	0.00243840747452211	0.0165404730609635	0.011370273531342	0.018586642023065	0.00414652383929614	0.0110709061558947
C2CD2L_O14523.2	0.000804097834979633	-0.00798701889727154	0.0208962079803283	-0.00706505303667441	0.00120589449938583	-0.0169614472240361	-0.00019456265326466	0.0216007062161453	0.00560614379724249	-7.17668382314377e-05
C2CD2L_O14523.3	0.000988858021765699	-0.000652814104120589	-0.00132999846175621	0.000749252179230543	-0.00537765872726058	0.00300528593585243	0.0117739112171823	0.00121266508244602	0.0120413939649347	-0.015338890568274
C2CD2L_O14523.4	0.000465935253825905	-0.000759207323341969	-0.000998523414121511	-0.00259763782806579	-0.00021570333290218	0.00111706539913852	0.0033585937339056	0.0154601311701249	0.00889389172092813	0.000310859697054899
C2CD2L_O14523.5	0.00197323026559247	-0.00173256976811218	-0.00174157529991778	-0.00388053468618589	0.00111440669191767	-0.0018115230524792	-0.000904269030259412	0.0068471047642633	0.00466894101378823	-0.0117003462819344
TRAFD1_O14545	-0.00399331087064016	0.0059880626271082	0.0100312013568027	-0.00119987520335238	-0.00249178137651852	-0.00432381022329283	-0.0126149993102058	-0.00576541315993639	-0.0072965146006424	-0.00865248559902803
TRAFD1_O14545.1	-0.0035385297527695	0.00561171317830614	0.00428112040466868	0.014571942751946	-0.0192166137762623	-0.0133064181144782	-0.0267920861745059	-0.00645338127166179	0.00185235910175708	-0.0286722408324054
CIT_O14578	-0.00073850209056911	-0.0265446741854225	0.027431089529046	-0.00466965001132054	0.0201988020090436	-0.00919054260126197	-0.00395901639215403	0.000864031521725072	-0.0148650271344974	0.00858809289112504
CIT_O14578.1	0.00235100681532488	-0.0113371138253527	-0.00818363965529478	-0.0190775235468554	0.0159399207626296	0.0108146167004984	0.0263460323347376	0.019607455770193	0.0128260191333156	-0.00296212839720929
CDC42EP2_O14613	0.000477182727286763	-0.0116403274693434	-0.00159543638919545	-0.0069829199848416	-0.00508671402210195	-0.00432517320311656	-0.0160414978141665	0.0135733821786367	-0.00858127795386153	0.000824367337750275
AP3D1_O14617	-0.011186468054766	0.0117322319317588	0.011594464264498	0.00609604209184272	-0.0208589539095155	0.00772878188796035	-0.038679703462401	0.0222895617728369	0.00393871295654279	0.0135969315985802
ABLIM1_O14639	-2.20889754994481e-05	0.00663929284834641	-0.00380083622627127	0.00384812679817674	-0.00399050388137489	-0.00615142622271875	-0.00286750706434433	0.00406678861883409	0.00828842756647383	0.000386361857168556
ABLIM1_O14639.1	-0.00229875273783378	0.0111276730519566	0.0115650342819843	0.00549613351803653	0.0101658734565561	-0.00338236934423464	0.00166543802535555	-0.000554892932665414	0.00570843366723341	-0.0122864554306269
ABLIM1_O14639.2	-0.000620246025141293	0.00815035501449322	0.0249215648734046	-0.000635083484596187	-0.00888364126141244	0.00354666765368023	0.00788902660431676	-0.000652114631998064	0.0127108410171864	0.00239736077712471
ABLIM1_O14639.3	-0.00376263708278503	0.00954751362285119	0.00323201945051107	0.00653629875443363	0.00307352231796075	0.00642203059146115	-0.0147973732380167	-0.00643343457416741	-0.00220291497646239	-0.0118435047537418
ABLIM1_O14639.4	-0.00208965314817529	0.0122130036515302	-0.00776562448059939	0.0116095987873598	0.00581910558818024	0.00726801915542921	-0.00527591794570245	-0.00543977064115749	-0.00774874855945572	0.00606157059134725
ABLIM1_O14639.6	-0.00186562800848942	0.0140964734339256	0.0187181813874957	0.00827299559601931	0.00817303474425212	-0.00741550489412788	-0.00610368805205447	-0.0129742854120391	-5.92462921606895e-05	-0.00371482481653218
ABLIM1_O14639.7	-0.000258351279044455	0.00851966366172069	0.00138796648732556	0.00939361419757072	-0.0113913808098436	0.0018051227584297	0.00506941759717419	0.0089835249346934	-0.00745313952860452	-0.006401293536575
ABLIM1_O14639.9	-0.00131808957755705	0.0158186633119675	0.00890421277685826	0.000294884345945307	0.0113794821090731	-0.0032179203074142	0.00700730315781933	5.39281103286059e-05	6.95326582453798e-07	0.00510806162826041
DVL1_O14640.1	0.00821913902580313	-0.0458863744560544	-0.0304313967407232	-0.0106292340694787	-0.021117982565087	0.0172234654858675	0.0191773123493851	-0.00405832870475201	-0.00632387929358857	0.00907977142559777
DVL1_O14640.2	0.00188405381046186	0.00835388465011106	0.00475338048552405	0.0162187631293877	-0.00602478205158513	0.0196513088577027	0.00353800859333042	0.0162548079399372	-0.0148813943062969	-0.0126410292873399
CHD1_O14646	0.00114377364635494	0.00111691012818932	-0.011914221285748	0.00655125380565923	0.0163004666138114	0.00413922191924108	0.00512213895626914	0.0138859807520109	0.000656515038350619	-0.0119375422234004
