"Query.Mass","Matched.Compound","Matched.Form","Mass.Diff"
"237.088372147491","CPD-10488","M+H[1+]","0.00138879672098824"
"237.088372147491","6-PYRUVOYL-5678-TETRAHYDROPTERIN","M[1+]","0.00218290209099337"
"237.088372147491","CPD-10050","M+HCOOK[1+]","0.00031945497900665"
"237.088372147491","CPD-10051","M+HCOOK[1+]","0.00031945497900665"
"237.088372147491","CPD-260","M+HCOOK[1+]","0.00031945497900665"
"237.088372147491","CPD-261","M+HCOOK[1+]","0.00031945497900665"
"237.088372147491","CPD-374","M[1+]","0.00218290209099337"
"237.088372147491","CPD-8985","M+Na[1+]","0.000284012879006923"
"237.088372147491","CPD-9762","M+HCOOK[1+]","0.00031945497900665"
"237.088372147491","C01499","M+HCOOK[1+]","0.00031945497900665"
"255.119787880777","CPD-13040","M+Na[1+]","0.000562338493011794"
"158.096316253049","CPD-11406","M-C3H4O2+H[1+]","0.000138944621028259"
"438.21314655216","CPD3DJ-11366","M+NaCl[1+]","0.00148976010990509"
"297.167067322948","CPD-11962","M+H2O+H[1+]","0.00261833842199621"
"369.22500536868","HYDROXY-915-DIOXOPROSTA-13-ENOATE","M+H2O+H[1+]","0.00219517159001725"
"326.174082991355","C05322","M-HCOOH+H[1+]","0.00106639361496264"
"169.119574061098","CPD-13086","M+H+Na[2+]","0.00155719557201905"
"268.152278327613","ACETYL-ETCETERA-L-ASPARAGINE","M-HCOONa+H[1+]","0.000462805657036824"
"302.135825498997","C01735","M+H2O+H[1+]","0.00289438497304673"
"364.173007273357","CPD-12581","M+K[1+]","0.00268087208695533"
"265.034920492509","NICOTINATE_NUCLEOTIDE","M-C3H4O2+H[1+]","0.000301430139018066"
"183.062537809918","4-GUANIDO-BUTYRAMIDE","M+K[1+]","0.00134968495200383"
"231.098826964953","5-P-RIBOSYL-N-FORMYLGLYCINEAMIDE","M-HCOOK+H[1+]","0.00133389738300593"
"205.119666705347","CPD-4886","M+HCOONa[1+]","0.000210275023022177"
"205.119666705347","CPD-8785","M+HCOONa[1+]","0.000210275023022177"
"205.119666705347","C00449","M-C3H4O2+H[1+]","0.00135385357694418"
"227.10401692934","C00931","M+H[1+]","0.00138351436999073"
"227.10401692934","CPD-14736","M+H2O+H[1+]","0.00134820066998032"
"198.127715870712","ALBENDAZOLE-S-OXIDE","M-HCOOK+H[1+]","0.00167264945804391"
"293.135571247324","CPD-14601","M-CO+H[1+]","0.0026935940460362"
"293.135586339122","CPD-14601","M-CO+H[1+]","0.00267850224798849"
"201.05178874315","1-INDANONE","M+HCOONa[1+]","0.000402602519983475"
"201.05178874315","CPD-488","M-CO2+H[1+]","0.000491627720009546"
"201.05178874315","CPD-499","M-CO+H[1+]","0.000377005620009641"
"195.135289845198","CPD-3617","M+Na[1+]","0.000316507771998431"
"169.075834993624","ACETYL-ETCETERA-L-ASPARAGINE","M(C13)+2H[2+]","0.000426193603999536"
"169.075834993624","C00525","M-H4O2+H[1+]","0.000119112946009636"
"169.075834993624","TRP","M-H4O2+H[1+]","0.000119112946009636"
"336.07344430857","NICOTINAMIDE_NUCLEOTIDE","M+H[1+]","0.00174083100000644"
"336.07344430857","CH33ADO","M+HCOOK[1+]","0.00302853220000543"
"336.07344430857","CPD-12365","M-CO+H[1+]","0.00316887960002532"
"336.07344430857","CPD-12367","M-CO2+H[1+]","0.00305425750002541"
"336.07344430857","CPD-13025","M-CO+H[1+]","0.00316887960002532"
"336.07344430857","C00559","M+HCOOK[1+]","0.00302853220000543"
"336.07344430857","GMP","M-CO+H[1+]","0.00316887960002532"
"336.07344430857","NMNH","M[1+]","0.00119226566999941"
"339.054186797526","NICOTINATE_NUCLEOTIDE","M(S34)+H[1+]","0.00266773515602381"
"339.054186797526","NICOTINATE_NUCLEOTIDE","M(Cl37)+H[1+]","0.00126773515597733"
"339.054186797526","CPD-11281","M[1+]","0.00168987637403006"
"377.136076869338","CPD-12016","M-H2O+H[1+]","0.00178470916802098"
"299.146120666112","C06171","M(C13)+H[1+]","0.0010492820580339"
"299.146120666112","CPD-7712","M(C13)+H[1+]","0.0010492820580339"
"299.146120666112","CPD-7713","M(C13)+H[1+]","0.0010492820580339"
"243.099135882564","C00214","M+H[1+]","0.00158784549401503"
"243.099135882564","3-HYDROXY-L-KYNURENINE","M+H2O+H[1+]","0.00155253179400461"
"243.099135882564","7-8-DIHYDROPTEROATE","M-C3H4O2+H[1+]","0.000221068893978327"
"200.10675793682","CPD-11877","M(S34)+H[1+]","0.00151188295001248"
"306.080820477","6-PYRUVOYL-5678-TETRAHYDROPTERIN","M+HCOONa[1+]","4.52351700346298e-05"
"306.080820477","CPD-374","M+HCOONa[1+]","4.52351700346298e-05"
"306.080820477","C00387","M+Na[1+]","0.000124543569995694"
"344.184688585144","C05322","M-CO+H[1+]","0.000860799826000402"
"252.137005803777","C06171","M-HCOOH+H[1+]","0.00136414439302257"
"252.137005803777","CPD-7712","M-HCOOH+H[1+]","0.00136414439302257"
"252.137005803777","CPD-7713","M-HCOOH+H[1+]","0.00136414439302257"
"140.903273686041","FE+2","M+HCOOK[1+]","0.00024488072901363"
"140.903273686041","FE+3","M+HCOOK[1+]","0.00024488072901363"
"353.157151657218","C01674","M-C3H4O2+H[1+]","0.0016654381479384"
"268.103700901602","C00212","M+H[1+]","0.000329496868005208"
"268.103700901602","C00330","M+H[1+]","0.000329496868005208"
"268.103700901602","C01136","M+H2O+H[1+]","0.000104195532003359"
"369.224961634908","HYDROXY-915-DIOXOPROSTA-13-ENOATE","M+H2O+H[1+]","0.00223890536199178"
